,term,idf
167,我局,6.8666946601520324
168,所得,5.289779939423492
169,承担,4.09660906813037
170,承认,5.500603006349661
171,投资者,2.038060974038811
172,披露,2.160051505233307
173,抹黑,8.13966033596492
174,担保,4.230498562817806
175,招股书,4.9037869347281475
176,指控,6.214369474112342
177,挪用,6.502051546564123
178,挪用资金,7.312981762780452
179,损失,4.021785276332625
180,损害,4.865214659941908
181,控制,2.6548634024742643
182,提起,5.068290648205308
183,摘牌,6.0251274744738135
184,操纵,5.358182666307893
185,收到,3.2954732495063284
186,整理,4.600773551529578
187,文书,6.1937501869096065
188,新城,5.631223188766725
189,日元,7.8883459076840134
190,旧债,8.006128943340396
191,时任,5.165589559192108
192,暂停,4.221939309422136
193,更正,6.301380851101972
194,本法,7.520621127558696
195,杨兆全,8.13966033596492
196,某华,8.13966033596492
197,案件,4.733712351544167
198,案情,7.312981762780452
199,梁军,8.006128943340396
200,欢瑞,6.789733619015903
201,欣泰,6.589062923553753
202,欣泰退,8.293811015792178
203,欺诈,5.480400299032142
204,正中,7.7829853920261876
205,步森,7.04104804729681
206,民事,5.822890607978917
207,江河,7.252357140964016
208,沃特玛,7.446513155404975
209,没收,5.974696620846921
210,法院,4.604931561678242
211,浑水,7.252357140964016
212,浸辉,8.006128943340396
213,浸鑫,8.006128943340396
214,涉嫌,4.166676630747086
215,涉嫌犯罪,6.173547479592087
216,涉案,5.596934115288093
217,淀粉,8.293811015792178
218,深交所,3.452252051739856
219,滨海,6.347900866736865
220,激光,4.490859105418394
221,熔断,6.060218794285084
222,熟人,8.293811015792178
223,爆雷,5.728861658330641
224,牛皮,8.006128943340396
225,犯罪行为,8.006128943340396
226,狂犬病,7.687675212221863
227,狮头,7.8883459076840134
228,猪瘟,6.907516654672287
229,獐子,6.235422883310174
230,王晓松,8.13966033596492
231,环保局,7.446513155404975
232,瑞华,6.2569290885311375
233,申辩,6.2569290885311375
234,皇台,6.347900866736865
235,监管部门,4.320379382235388
236,看不下去,8.293811015792178
237,知悉,6.115278571468111
238,知情人,6.2569290885311375
239,短信,6.173547479592087
240,碳谷,8.13966033596492
241,禁入,6.0251274744738135
242,离职,5.195221356798479
243,科兴,8.293811015792178
244,科沃,8.293811015792178
245,科迪,8.006128943340396
246,秘书,5.022975451993266
247,移送,6.096586438455958
248,立信,6.502051546564123
249,立案,4.378460220271357
250,第七十三,7.141131505853792
251,第七十六条,7.195198727124068
252,第三十条,8.13966033596492
253,第二款,6.6843731033580776
254,第二百,6.8666946601520324
255,第五十八,8.293811015792178
256,精功,7.252357140964016
257,索菱,7.252357140964016
258,索赔,5.991225922798132
259,纠纷,5.0951378982414965
260,终止,3.9222556809855917
261,终身,6.1343267664388055
262,经查,6.1343267664388055
263,经查明,6.324370369326671
264,经纪人,7.7829853920261876
265,维权,5.480400299032142
266,绿庭,8.13966033596492
267,罚款,4.887073453754407
268,罚没款,6.559209960404072
269,罚金,7.377520283918023
270,美年,6.324370369326671
271,美锦,6.907516654672287
272,老三,7.600663835232233
273,老师,7.446513155404975
274,老贾,7.687675212221863
275,老鼠,7.04104804729681
276,职务,4.513416452842469
277,股民,4.643152774498439
278,胶囊,6.371998418315925
279,舞弊,7.252357140964016
280,药业,3.7540686351265418
281,药机,6.078237299787762
282,莲花,7.141131505853792
283,菲尔,8.13966033596492
284,董事,3.541658639455441
285,董事会,3.4668315015030133
286,董事长,2.965934847002597
287,蓝丰,7.8883459076840134
288,蓝天,7.04104804729681
289,虚假,4.743236233055422
290,虚增,5.490450634885643
291,虚构,5.851463980422974
292,行政处罚,4.604931561678242
293,行贿,6.651583280535086
294,被告,5.666729877223635
295,裁判,6.422008838890586
296,西凤酒,7.687675212221863
297,西麦,8.293811015792178
298,观察报,6.559209960404072
299,视网,4.6518484814659935
300,视觉,5.331980293913868
301,警告,5.412741650558327
302,警方,6.235422883310174
303,警示,4.870634727411247
304,计提,4.292556876636089
305,认定,4.576182148392256
306,记者,2.0525609864235648
307,记载,5.716122632553211
308,证券市场,4.762560505881824
309,证券法,4.967576672603478
310,证据,5.2733861296478155
311,证监会,3.081596348297553
312,诉讼,4.298673103653526
313,该案,6.2569290885311375
314,误导,6.1343267664388055
315,误导性,6.324370369326671
316,调查,3.5561516467580074
317,贝因美,5.911183215124596
318,财产,5.022975451993266
319,财务,3.7294628243243415
320,财务总监,5.367071613725138
321,财务报告,5.394222602791089
322,责令,5.129743427418972
323,责任,4.213452695544817
324,责任人,6.396691030906297
325,账户,3.889126357225712
326,账款,4.268459325057028
327,货币资金,4.752851691754864
328,质疑,3.8570594814290495
329,贾跃亭,5.608233670542027
330,贾跃芳,7.8883459076840134
331,赌博,7.04104804729681
332,赔付,6.827473946998751
333,赔偿,5.323396550222477
334,赵某,8.293811015792178
335,起诉,5.2733861296478155
336,起诉书,8.006128943340396
337,跌停,3.6319454861275413
338,跌停板,4.797303454325698
339,软银,7.8883459076840134
340,辅仁,6.789733619015903
341,辉山,7.8883459076840134
342,过错,8.13966033596492
343,还给,7.141131505853792
344,违反,4.58023894908787
345,违法,4.045315773742819
346,违法行为,5.081624179074773
347,违约,4.568117588555525
348,违纪,6.502051546564123
349,违规,3.9521724420235844
350,退回,7.141131505853792
351,退市,4.188416617383492
352,通知书,4.97358269666369
353,通话,7.089838211466242
354,造假,4.797303454325698
355,遗漏,6.096586438455958
356,配股,5.991225922798132
357,酒业,5.358182666307893
358,金亚,5.991225922798132
359,金盾,7.600663835232233
360,钟玉,6.396691030906297
361,银隆,6.347900866736865
362,错误,6.042519217185682
363,长油,7.520621127558696
364,长生,6.347900866736865
365,闪崩,5.542275702750229
366,问询,3.9222556809855917
367,阈值,7.312981762780452
368,陈援,7.687675212221863
369,陈某,8.006128943340396
370,陈述,5.422131390908166
371,隐瞒,6.278907995249913
372,雏鹰,5.666729877223635
373,雷士,8.293811015792178
374,青海,6.1343267664388055
375,非法,5.460597671735962
376,音响,6.718274655033759
377,顾家,7.7829853920261876
378,风波,5.257256747717932
379,风险,2.409560552991345
380,飞乐,6.6198345822205065
381,饮品,6.589062923553753
382,饿死,7.8883459076840134
383,马兴田,8.293811015792178
384,驳回,6.789733619015903
385,高俊芳,8.293811015792178
386,鲜言,8.293811015792178
387,黄某,8.293811015792178
388,黑洞,6.907516654672287
389,黑豹,7.141131505853792
390,龙星,8.006128943340396
